E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0657; 0.0101; 0.0968;  21.88  ; 95.02  ; 16.18  ; 7.41  ; -0.0416 ; 0.023 ; 0.1452;  51.28  ; 122.06  ; 24.1  ; 3.0  ; -0.1284 ; 0.1058 ; 0.3021
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0672; 0.0051; 0.0681;  16.04  ; 92.51  ; 15.97  ; 15.92  ; -0.0385 ; 0.0079 ; 0.0845;  14.38  ; 155.2  ; 3.15  ; 1.44  ; -0.1636 ; 0.0034 ; 0.0563
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.1064; 0.0127; 0.1087;  20.57  ; 95.23  ; 13.14  ; 11.07  ; -0.0427 ; 0.0156 ; 0.1203;  32.85  ; 119.63  ; 20.59  ; 19.86  ; -0.1227 ; 0.0239 ; 0.1498
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0719; 0.0163; 0.123;  28.27  ; 101.73  ; 18.52  ; 8.51  ; -0.061 ; 0.0338 ; 0.1746;  74.46  ; 182.14  ; 18.43  ; 11.35  ; -0.4628 ; 0.0806 ; 0.2715
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0674; 0.0137; 0.1108;  25.27  ; 99.64  ; 10.49  ; 7.99  ; -0.0522 ; 0.0245 ; 0.1502;  8.05  ; 170.78  ; 4.05  ; 1.34  ; -0.2001 ; 0.0008 ; 0.0275
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0627; 0.0207; 0.1377;  23.1  ; 92.8  ; 17.59  ; 13.3  ; -0.0411 ; 0.0207 ; 0.1377;  67.06  ; 150.92  ; 20.91  ; 9.34  ; -0.2838 ; 0.1071 ; 0.3128
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0702; 0.0247; 0.1527;  27.73  ; 97.81  ; 13.12  ; 8.84  ; -0.0512 ; 0.0319 ; 0.1712;  54.49  ; 130.86  ; 15.24  ; 4.81  ; -0.1674 ; 0.0954 ; 0.2959
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.151; 0.0169; 0.123;  23.22  ; 87.95  ; 22.66  ; 21.19  ; -0.0413 ; 0.0187 ; 0.1329;  29.53  ; 173.47  ; 27.14  ; 2.67  ; -0.2958 ; 0.0169 ; 0.123
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.133; 0.0048; 0.0659;  22.43  ; 97.19  ; 21.0  ; 4.02  ; -0.0422 ; 0.0297 ; 0.1635;  19.71  ; 162.96  ; 17.95  ; 16.5  ; -0.2403 ; 0.0043 ; 0.0632
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0761; 0.0227; 0.1455;  27.07  ; 102.54  ; 9.31  ; 4.28  ; -0.054 ; 0.0301 ; 0.1657;  11.7  ; 167.78  ; 2.39  ; 1.07  ; -0.1988 ; 0.0019 ; 0.0409
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0613; 0.0167; 0.1241;  18.12  ; 106.58  ; 10.78  ; 3.44  ; -0.0534 ; 0.0127 ; 0.1075;  37.8  ; 160.45  ; 12.61  ; 5.72  ; -0.2559 ; 0.0245 ; 0.1504
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0541; 0.0241; 0.1471;  23.59  ; 92.05  ; 14.81  ; 14.73  ; -0.0436 ; 0.0199 ; 0.136;  29.2  ; 128.09  ; 20.96  ; 14.25  ; -0.1379 ; 0.0195 ; 0.1348
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0757; 0.0225; 0.1449;  20.3  ; 91.67  ; 16.49  ; 13.31  ; -0.0389 ; 0.0162 ; 0.1234;  36.78  ; 169.5  ; 8.01  ; 1.16  ; -0.2867 ; 0.0225 ; 0.1449
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.1308; 0.014; 0.1131;  20.18  ; 108.8  ; 9.36  ; 7.33  ; -0.064 ; 0.0124 ; 0.1066;  56.7  ; 129.27  ; 15.48  ; 5.63  ; -0.1617 ; 0.1023 ; 0.3026
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0962; 0.0223; 0.1435;  21.7  ; 99.14  ; 20.15  ; 1.6  ; -0.0436 ; 0.0296 ; 0.1626;  42.41  ; 143.02  ; 21.15  ; 8.06  ; -0.1975 ; 0.0428 ; 0.1986
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.1139; 0.0214; 0.1401;  21.13  ; 104.91  ; 7.38  ; 5.91  ; -0.0534 ; 0.0151 ; 0.1182;  8.06  ; 177.5  ; 7.54  ; 4.51  ; -0.2329 ; 0.0007 ; 0.0249
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0654; 0.0184; 0.1307;  19.06  ; 95.87  ; 18.99  ; 13.34  ; -0.0466 ; 0.0132 ; 0.1104;  28.59  ; 125.58  ; 16.36  ; 12.81  ; -0.1158 ; 0.0184 ; 0.1307
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0575; 0.0184; 0.1312;  24.1  ; 96.05  ; 21.16  ; 18.64  ; -0.0527 ; 0.0184 ; 0.1312;  2.19  ; 145.87  ; 1.4  ; 1.37  ; -0.1071 ; 0.0001 ; 0.0078
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0693; 0.0072; 0.0819;  14.63  ; 101.55  ; 14.49  ; 9.99  ; -0.0467 ; 0.0072 ; 0.0819;  16.82  ; 188.99  ; 16.78  ; 2.55  ; -0.3199 ; 0.0042 ; 0.0608
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0733; 0.0249; 0.1508;  23.2  ; 103.7  ; 17.13  ; 6.44  ; -0.0583 ; 0.0232 ; 0.1458;  67.74  ; 174.06  ; 53.22  ; 12.46  ; -0.3916 ; 0.0994 ; 0.3005
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0979; 0.008; 0.086;  16.7  ; 107.13  ; 9.55  ; 8.33  ; -0.0568 ; 0.008 ; 0.086;  45.17  ; 116.33  ; 34.12  ; 26.5  ; -0.1365 ; 0.0556 ; 0.228
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0678; 0.0069; 0.0801;  23.0  ; 91.97  ; 13.0  ; 11.22  ; -0.0412 ; 0.0217 ; 0.1427;  14.14  ; 167.67  ; 7.51  ; 4.17  ; -0.2149 ; 0.0026 ; 0.049
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.15; 0.0337; 0.1758;  27.18  ; 100.6  ; 16.27  ; 6.6  ; -0.0552 ; 0.0337 ; 0.1758;  49.77  ; 143.88  ; 34.82  ; 21.63  ; -0.2266 ; 0.0525 ; 0.2223
E66 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=200, P_{H}=13] ; -0.0606; 0.0235; 0.1471;  24.48  ; 97.69  ; 11.68  ; 8.87  ; -0.0485 ; 0.0235 ; 0.1471;  17.57  ; 116.65  ; 4.94  ; 2.78  ; -0.0716 ; 0.0089 ; 0.0906
